ID,単語,句,品詞,品詞タグ
0,晴れ,晴れ,VERB,名詞-普通名詞-一般
1,夜,夜,ADV,名詞-普通名詞-副詞可能
2,くもり,くもり,VERB,名詞-普通名詞-一般
3,晴れ,晴れ,NOUN,名詞-普通名詞-一般
4,夜,夜,ADV,名詞-普通名詞-副詞可能
5,くもり,くもり,VERB,名詞-普通名詞-一般
6,晴れ,晴れ,NOUN,名詞-普通名詞-一般
7,夜,夜,ADV,名詞-普通名詞-副詞可能
8,くもり,くもり,VERB,名詞-普通名詞-一般
9,晴れ,晴れ,NOUN,名詞-普通名詞-一般
10,夕方,夕方,NOUN,名詞-普通名詞-副詞可能
11,から,から,ADP,助詞-格助詞
12,くもり,くもり,NOUN,名詞-普通名詞-一般
13,晴れ,晴れ,NOUN,名詞-普通名詞-一般
14,後,後,NOUN,名詞-普通名詞-副詞可能
15,くもり,くもり,ADV,名詞-普通名詞-一般
16,夜,夜,ADV,名詞-普通名詞-副詞可能
17,遅く,遅い,ADJ,形容詞-一般
18,雨,雨,NOUN,名詞-普通名詞-一般
19,所,所,NOUN,接尾辞-名詞的-一般
20,に,に,ADP,助詞-格助詞
21,より,よる,VERB,動詞-一般
22,夕方,夕方,NOUN,名詞-普通名詞-副詞可能
23,から,から,ADP,助詞-格助詞
24,雷,雷,NOUN,名詞-普通名詞-一般
25,を,を,ADP,助詞-格助詞
26,伴う,伴う,VERB,動詞-一般
27,晴れ,晴れ,NOUN,名詞-普通名詞-一般
28,後,後,NOUN,名詞-普通名詞-副詞可能
29,くもり,くもり,ADV,名詞-普通名詞-一般
30,夜,夜,ADV,名詞-普通名詞-副詞可能
31,遅く,遅い,ADJ,形容詞-一般
32,雨,雨,NOUN,名詞-普通名詞-一般
33,所,所,NOUN,接尾辞-名詞的-一般
34,に,に,ADP,助詞-格助詞
35,より,よる,VERB,動詞-一般
36,夕方,夕方,NOUN,名詞-普通名詞-副詞可能
37,から,から,ADP,助詞-格助詞
38,雷,雷,NOUN,名詞-普通名詞-一般
39,を,を,ADP,助詞-格助詞
40,伴う,伴う,VERB,動詞-一般
41,晴れ,晴れ,NOUN,名詞-普通名詞-一般
42,夜,夜,ADV,名詞-普通名詞-副詞可能
43,くもり,くもり,VERB,名詞-普通名詞-一般
44,所,所,NOUN,接尾辞-名詞的-一般
45,に,に,ADP,助詞-格助詞
46,より,よる,VERB,動詞-一般
47,夜,夜,ADV,名詞-普通名詞-副詞可能
48,遅く,遅い,ADJ,形容詞-一般
49,雨,雨,NOUN,名詞-普通名詞-一般
50,で,で,ADP,助詞-格助詞
51,雷,雷,NOUN,名詞-普通名詞-一般
52,を,を,ADP,助詞-格助詞
53,伴う,伴う,VERB,動詞-一般
54,晴れ,晴れ,NOUN,名詞-普通名詞-一般
55,夜,夜,ADV,名詞-普通名詞-副詞可能
56,くもり,くもり,VERB,名詞-普通名詞-一般
57,所,所,NOUN,接尾辞-名詞的-一般
58,に,に,ADP,助詞-格助詞
59,より,よる,VERB,動詞-一般
60,夜,夜,ADV,名詞-普通名詞-副詞可能
61,遅く,遅い,ADJ,形容詞-一般
62,雨,雨,NOUN,名詞-普通名詞-一般
63,で,で,ADP,助詞-格助詞
64,雷,雷,NOUN,名詞-普通名詞-一般
65,を,を,ADP,助詞-格助詞
66,伴う,伴う,VERB,動詞-一般
67,晴れ,晴れ,NOUN,名詞-普通名詞-一般
68,夜,夜,ADV,名詞-普通名詞-副詞可能
69,くもり,くもり,VERB,名詞-普通名詞-一般
70,所,所,NOUN,接尾辞-名詞的-一般
71,に,に,ADP,助詞-格助詞
72,より,よる,VERB,動詞-一般
73,夜,夜,ADV,名詞-普通名詞-副詞可能
74,遅く,遅い,ADJ,形容詞-一般
75,雨,雨,NOUN,名詞-普通名詞-一般
76,で,で,ADP,助詞-格助詞
77,雷,雷,NOUN,名詞-普通名詞-一般
78,を,を,ADP,助詞-格助詞
79,伴う,伴う,VERB,動詞-一般
80,晴れ,晴れ,NOUN,名詞-普通名詞-一般
81,後,後,NOUN,名詞-普通名詞-副詞可能
82,くもり,くもり,ADV,名詞-普通名詞-一般
83,夜,夜,ADV,名詞-普通名詞-副詞可能
84,遅く,遅い,ADJ,形容詞-一般
85,雨,雨,NOUN,名詞-普通名詞-一般
86,所,所,NOUN,接尾辞-名詞的-一般
87,に,に,ADP,助詞-格助詞
88,より,よる,VERB,動詞-一般
89,夜,夜,NOUN,名詞-普通名詞-副詞可能
90,雷,雷,NOUN,名詞-普通名詞-一般
91,を,を,ADP,助詞-格助詞
92,伴う,伴う,VERB,動詞-一般
93,晴れ,晴れ,NOUN,名詞-普通名詞-一般
94,夜,夜,ADV,名詞-普通名詞-副詞可能
95,くもり,くもり,VERB,名詞-普通名詞-一般
96,所,所,NOUN,接尾辞-名詞的-一般
97,に,に,ADP,助詞-格助詞
98,より,よる,VERB,動詞-一般
99,夜,夜,ADV,名詞-普通名詞-副詞可能
100,遅く,遅い,ADJ,形容詞-一般
101,雨,雨,NOUN,名詞-普通名詞-一般
102,で,で,ADP,助詞-格助詞
103,雷,雷,NOUN,名詞-普通名詞-一般
104,を,を,ADP,助詞-格助詞
105,伴う,伴う,VERB,動詞-一般
106,晴れ,晴れ,NOUN,名詞-普通名詞-一般
107,夜,夜,ADV,名詞-普通名詞-副詞可能
108,くもり,くもり,VERB,名詞-普通名詞-一般
109,所,所,NOUN,接尾辞-名詞的-一般
110,に,に,ADP,助詞-格助詞
111,より,よる,VERB,動詞-一般
112,夜,夜,ADV,名詞-普通名詞-副詞可能
113,遅く,遅い,ADJ,形容詞-一般
114,雨,雨,NOUN,名詞-普通名詞-一般
115,で,で,ADP,助詞-格助詞
116,雷,雷,NOUN,名詞-普通名詞-一般
117,を,を,ADP,助詞-格助詞
118,伴う,伴う,VERB,動詞-一般
119,晴れ,晴れ,NOUN,名詞-普通名詞-一般
120,夕方,夕方,NOUN,名詞-普通名詞-副詞可能
121,から,から,ADP,助詞-格助詞
122,くもり,くもり,NOUN,名詞-普通名詞-一般
123,所,所,NOUN,接尾辞-名詞的-一般
124,に,に,ADP,助詞-格助詞
125,より,よる,VERB,動詞-一般
126,夜,夜,ADV,名詞-普通名詞-副詞可能
127,遅く,遅い,ADJ,形容詞-一般
128,雨,雨,NOUN,名詞-普通名詞-一般
129,くもり,くもり,NOUN,名詞-普通名詞-一般
130,昼過ぎ,昼過ぎ,NOUN,名詞-普通名詞-副詞可能
131,から,から,ADP,助詞-格助詞
132,夕方,夕方,ADV,名詞-普通名詞-副詞可能
133,雨,雨,NOUN,名詞-普通名詞-一般
134,所,所,NOUN,接尾辞-名詞的-一般
135,に,に,ADP,助詞-格助詞
136,より,よる,VERB,動詞-一般
137,昼過ぎ,昼過ぎ,NOUN,名詞-普通名詞-副詞可能
138,から,から,ADP,助詞-格助詞
139,雷,雷,NOUN,名詞-普通名詞-一般
140,を,を,ADP,助詞-格助詞
141,伴う,伴う,VERB,動詞-一般
142,くもり,くもり,NOUN,名詞-普通名詞-一般
143,昼過ぎ,昼過ぎ,NOUN,名詞-普通名詞-副詞可能
144,から,から,ADP,助詞-格助詞
145,夕方,夕方,ADV,名詞-普通名詞-副詞可能
146,雨,雨,NOUN,名詞-普通名詞-一般
147,所,所,NOUN,接尾辞-名詞的-一般
148,に,に,ADP,助詞-格助詞
149,より,よる,VERB,動詞-一般
150,昼過ぎ,昼過ぎ,NOUN,名詞-普通名詞-副詞可能
151,から,から,ADP,助詞-格助詞
152,雷,雷,NOUN,名詞-普通名詞-一般
153,を,を,ADP,助詞-格助詞
154,伴う,伴う,VERB,動詞-一般
155,くもり,くもり,NOUN,名詞-普通名詞-一般
156,夜,夜,NOUN,名詞-普通名詞-副詞可能
157,晴れ,晴れ,VERB,名詞-普通名詞-一般
158,くもり,くもり,ADV,名詞-普通名詞-一般
159,時々,時々,NOUN,名詞-普通名詞-副詞可能
160,晴れ,晴れ,NOUN,名詞-普通名詞-一般
161,昼前,昼前,NOUN,名詞-普通名詞-副詞可能
162,一時,一時,ADV,名詞-普通名詞-副詞可能
163,雨,雨,NOUN,名詞-普通名詞-一般
164,所,所,NOUN,接尾辞-名詞的-一般
165,に,に,ADP,助詞-格助詞
166,より,よる,VERB,動詞-一般
167,朝,朝,NOUN,名詞-普通名詞-副詞可能
168,から,から,ADP,助詞-格助詞
169,夜,夜,NOUN,名詞-普通名詞-副詞可能
170,の,の,ADP,助詞-格助詞
171,はじめ,はじめ,NOUN,名詞-普通名詞-副詞可能
172,頃,頃,NOUN,名詞-普通名詞-副詞可能
173,雷,雷,NOUN,名詞-普通名詞-一般
174,を,を,ADP,助詞-格助詞
175,伴う,伴う,VERB,動詞-一般
176,くもり,くもり,NOUN,名詞-普通名詞-一般
177,昼過ぎ,昼過ぎ,NOUN,名詞-普通名詞-副詞可能
178,まで,まで,ADP,助詞-副助詞
179,時々,時々,ADV,名詞-普通名詞-副詞可能
180,雨,雨,NOUN,名詞-普通名詞-一般
181,所,所,NOUN,接尾辞-名詞的-一般
182,に,に,ADP,助詞-格助詞
183,より,よる,VERB,動詞-一般
184,明け方,明け方,NOUN,名詞-普通名詞-副詞可能
185,から,から,ADP,助詞-格助詞
186,雷,雷,NOUN,名詞-普通名詞-一般
187,を,を,ADP,助詞-格助詞
188,伴う,伴う,VERB,動詞-一般
189,くもり,くもり,NOUN,名詞-普通名詞-一般
190,昼前,昼前,NOUN,名詞-普通名詞-副詞可能
191,から,から,ADP,助詞-格助詞
192,時々,時々,ADV,名詞-普通名詞-副詞可能
193,雨,雨,NOUN,名詞-普通名詞-一般
194,三宅島,三宅島,PROPN,名詞-固有名詞-地名-一般
195,で,で,ADP,助詞-格助詞
196,は,は,ADP,助詞-係助詞
197,明け方,明け方,NOUN,名詞-普通名詞-副詞可能
198,から,から,ADP,助詞-格助詞
199,雷,雷,NOUN,名詞-普通名詞-一般
200,を,を,ADP,助詞-格助詞
201,伴う,伴う,VERB,動詞-一般
202,くもり,くもり,NOUN,名詞-普通名詞-一般
203,所,所,NOUN,接尾辞-名詞的-一般
204,に,に,ADP,助詞-格助詞
205,より,よる,VERB,動詞-一般
206,夕方,夕方,NOUN,名詞-普通名詞-副詞可能
207,から,から,ADP,助詞-格助詞
208,雨,雨,NOUN,名詞-普通名詞-一般
209,くもり,くもり,NOUN,名詞-普通名詞-一般
210,後,後,NOUN,接尾辞-名詞的-副詞可能
211,晴れ,晴れる,NOUN,動詞-一般
212,明け方,明け方,NOUN,名詞-普通名詞-副詞可能
213,まで,まで,ADP,助詞-副助詞
214,雨,雨,NOUN,名詞-普通名詞-一般
215,所,所,NOUN,接尾辞-名詞的-一般
216,に,に,ADP,助詞-格助詞
217,より,よる,VERB,動詞-一般
218,朝,朝,NOUN,名詞-普通名詞-副詞可能
219,まで,まで,ADP,助詞-副助詞
220,雷,雷,NOUN,名詞-普通名詞-一般
221,を,を,ADP,助詞-格助詞
222,伴う,伴う,VERB,動詞-一般
223,くもり,くもり,NOUN,名詞-普通名詞-一般
224,明け方,明け方,NOUN,名詞-普通名詞-副詞可能
225,まで,まで,ADP,助詞-副助詞
226,雨,雨,NOUN,名詞-普通名詞-一般
227,所,所,NOUN,接尾辞-名詞的-一般
228,に,に,ADP,助詞-格助詞
229,より,よる,VERB,動詞-一般
230,朝,朝,NOUN,名詞-普通名詞-副詞可能
231,まで,まで,ADP,助詞-副助詞
232,雷,雷,NOUN,名詞-普通名詞-一般
233,を,を,ADP,助詞-格助詞
234,伴う,伴う,VERB,動詞-一般
235,雨,雨,NOUN,名詞-普通名詞-一般
236,昼前,昼前,NOUN,名詞-普通名詞-副詞可能
237,から,から,ADP,助詞-格助詞
238,くもり,くもり,NOUN,名詞-普通名詞-一般
239,所,所,NOUN,接尾辞-名詞的-一般
240,に,に,ADP,助詞-格助詞
241,より,よる,VERB,動詞-一般
242,朝,朝,NOUN,名詞-普通名詞-副詞可能
243,まで,まで,ADP,助詞-副助詞
244,雷,雷,NOUN,名詞-普通名詞-一般
245,を,を,ADP,助詞-格助詞
246,伴う,伴う,VERB,動詞-一般
247,雨,雨,NOUN,名詞-普通名詞-一般
248,昼前,昼前,NOUN,名詞-普通名詞-副詞可能
249,から,から,ADP,助詞-格助詞
250,くもり,くもり,NOUN,名詞-普通名詞-一般
251,所,所,NOUN,接尾辞-名詞的-一般
252,に,に,ADP,助詞-格助詞
253,より,よる,VERB,動詞-一般
254,朝,朝,NOUN,名詞-普通名詞-副詞可能
255,まで,まで,ADP,助詞-副助詞
256,雷,雷,NOUN,名詞-普通名詞-一般
257,を,を,ADP,助詞-格助詞
258,伴う,伴う,VERB,動詞-一般
259,雨,雨,NOUN,名詞-普通名詞-一般
260,昼前,昼前,NOUN,名詞-普通名詞-副詞可能
261,から,から,ADP,助詞-格助詞
262,くもり,くもり,NOUN,名詞-普通名詞-一般
263,所,所,NOUN,接尾辞-名詞的-一般
264,に,に,ADP,助詞-格助詞
265,より,よる,VERB,動詞-一般
266,朝,朝,NOUN,名詞-普通名詞-副詞可能
267,まで,まで,ADP,助詞-副助詞
268,雷,雷,NOUN,名詞-普通名詞-一般
269,を,を,ADP,助詞-格助詞
270,伴う,伴う,VERB,動詞-一般
271,くもり,くもり,NOUN,名詞-普通名詞-一般
272,後,後,NOUN,接尾辞-名詞的-副詞可能
273,晴れ,晴れる,NOUN,動詞-一般
274,明け方,明け方,NOUN,名詞-普通名詞-副詞可能
275,まで,まで,ADP,助詞-副助詞
276,雨,雨,NOUN,名詞-普通名詞-一般
277,所,所,NOUN,接尾辞-名詞的-一般
278,に,に,ADP,助詞-格助詞
279,より,よる,VERB,動詞-一般
280,朝,朝,NOUN,名詞-普通名詞-副詞可能
281,まで,まで,ADP,助詞-副助詞
282,雷,雷,NOUN,名詞-普通名詞-一般
283,を,を,ADP,助詞-格助詞
284,伴う,伴う,VERB,動詞-一般
285,雨,雨,NOUN,名詞-普通名詞-一般
286,昼前,昼前,NOUN,名詞-普通名詞-副詞可能
287,から,から,ADP,助詞-格助詞
288,くもり,くもり,NOUN,名詞-普通名詞-一般
289,所,所,NOUN,接尾辞-名詞的-一般
290,に,に,ADP,助詞-格助詞
291,より,よる,VERB,動詞-一般
292,朝,朝,NOUN,名詞-普通名詞-副詞可能
293,まで,まで,ADP,助詞-副助詞
294,雷,雷,NOUN,名詞-普通名詞-一般
295,を,を,ADP,助詞-格助詞
296,伴う,伴う,VERB,動詞-一般
297,くもり,くもり,NOUN,名詞-普通名詞-一般
298,明け方,明け方,NOUN,名詞-普通名詞-副詞可能
299,まで,まで,ADP,助詞-副助詞
300,雨,雨,NOUN,名詞-普通名詞-一般
301,所,所,NOUN,接尾辞-名詞的-一般
302,に,に,ADP,助詞-格助詞
303,より,よる,VERB,動詞-一般
304,朝,朝,NOUN,名詞-普通名詞-副詞可能
305,まで,まで,ADP,助詞-副助詞
306,雷,雷,NOUN,名詞-普通名詞-一般
307,を,を,ADP,助詞-格助詞
308,伴う,伴う,VERB,動詞-一般
309,雨,雨,NOUN,名詞-普通名詞-一般
310,昼過ぎ,昼過ぎ,NOUN,名詞-普通名詞-副詞可能
311,から,から,ADP,助詞-格助詞
312,くもり,くもり,NOUN,名詞-普通名詞-一般
313,後,後,NOUN,名詞-普通名詞-副詞可能
314,晴れ,晴れ,VERB,名詞-普通名詞-一般
315,所,所,NOUN,接尾辞-名詞的-一般
316,に,に,ADP,助詞-格助詞
317,より,よる,VERB,動詞-一般
318,昼過ぎ,昼過ぎ,NOUN,名詞-普通名詞-副詞可能
319,まで,まで,ADP,助詞-副助詞
320,雷,雷,NOUN,名詞-普通名詞-一般
321,を,を,ADP,助詞-格助詞
322,伴う,伴う,VERB,動詞-一般
323,晴れ,晴れ,NOUN,名詞-普通名詞-一般
324,時々,時々,ADV,名詞-普通名詞-副詞可能
325,くもり,くもり,ADJ,名詞-普通名詞-一般
326,晴れ,晴れ,NOUN,名詞-普通名詞-一般
327,時々,時々,ADV,名詞-普通名詞-副詞可能
328,くもり,くもり,ADV,名詞-普通名詞-一般
329,晴れ晴れ,晴れ晴れ,NOUN,副詞
330,時々,時々,ADV,名詞-普通名詞-副詞可能
331,くもり,くもり,ADJ,名詞-普通名詞-一般
332,晴れ,晴れ,NOUN,名詞-普通名詞-一般
333,時々,時々,ADV,名詞-普通名詞-副詞可能
334,くもり,くもり,ADJ,名詞-普通名詞-一般
335,晴れ,晴れ,NOUN,名詞-普通名詞-一般
336,時々,時々,ADV,名詞-普通名詞-副詞可能
337,くもり,くもり,VERB,名詞-普通名詞-一般
338,くもり,くもり,NOUN,名詞-普通名詞-一般
339,時々,時々,ADV,名詞-普通名詞-副詞可能
340,晴れ晴れ,晴れ晴れ,ADJ,副詞
341,後,後,NOUN,名詞-普通名詞-副詞可能
342,くもり,くもり,NOUN,名詞-普通名詞-一般
343,晴れ,晴れ,NOUN,名詞-普通名詞-一般
344,後,後,NOUN,名詞-普通名詞-副詞可能
345,くもり,くもり,ADV,名詞-普通名詞-一般
346,晴れ,晴れ,NOUN,名詞-普通名詞-一般
347,時々,時々,ADV,名詞-普通名詞-副詞可能
348,くもり,くもり,ADJ,名詞-普通名詞-一般
349,晴れ,晴れ,NOUN,名詞-普通名詞-一般
350,時々,時々,ADV,名詞-普通名詞-副詞可能
351,くもり,くもり,ADJ,名詞-普通名詞-一般
352,晴れ,晴れ,NOUN,名詞-普通名詞-一般
353,時々,時々,ADV,名詞-普通名詞-副詞可能
354,くもり,くもり,ADJ,名詞-普通名詞-一般
355,晴れ,晴れ,NOUN,名詞-普通名詞-一般
356,時々,時々,ADV,名詞-普通名詞-副詞可能
357,くもり,くもり,ADJ,名詞-普通名詞-一般
358,晴れ,晴れ,NOUN,名詞-普通名詞-一般
359,時々,時々,ADV,名詞-普通名詞-副詞可能
360,くもり,くもり,ADJ,名詞-普通名詞-一般
361,晴れ,晴れ,NOUN,名詞-普通名詞-一般
362,時々,時々,ADV,名詞-普通名詞-副詞可能
363,くもり,くもり,ADJ,名詞-普通名詞-一般
364,晴れ,晴れ,NOUN,名詞-普通名詞-一般
365,時々,時々,ADV,名詞-普通名詞-副詞可能
366,くもり,くもり,ADJ,名詞-普通名詞-一般
367,晴れ,晴れ,NOUN,名詞-普通名詞-一般
368,時々,時々,ADV,名詞-普通名詞-副詞可能
369,くもり,くもり,ADJ,名詞-普通名詞-一般
370,晴れ,晴れ,NOUN,名詞-普通名詞-一般
371,時々,時々,ADV,名詞-普通名詞-副詞可能
372,くもり,くもり,ADJ,名詞-普通名詞-一般
373,晴れ,晴れ,NOUN,名詞-普通名詞-一般
374,時々,時々,ADV,名詞-普通名詞-副詞可能
375,くもり,くもり,ADV,名詞-普通名詞-一般
